time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
214,REQ_973,VNF_5->VNF_1->VNF_4,5,5,0,145.6667,65.0000,115.0000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.6343
215,REQ_978,VNF_8->VNF_6->VNF_2,5,5,0,161.0000,60.0000,92.0000,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6788
216,REQ_982,VNF_4->VNF_6->VNF_1,5,5,0,138.0000,65.0000,60.0000,13,2.60,True,False,False,,,,0.6955
217,REQ_986,VNF_7->VNF_1->VNF_6,5,5,0,260.0000,56.0000,65.0000,7,1.40,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,smart_greedy",,,0.6246
218,REQ_990,VNF_5->VNF_3->VNF_1,5,5,0,144.0000,126.0000,168.0000,18,3.60,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6543
219,REQ_995,VNF_4->VNF_2->VNF_6,5,5,0,193.3333,55.0000,174.0000,11,2.20,True,False,True,resource_aware,,,0.6371
220,REQ_1000,VNF_4->VNF_5->VNF_8,5,5,0,174.0000,176.0000,162.0000,22,4.40,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.6376
221,REQ_1005,VNF_3->VNF_2->VNF_6,5,5,0,120.0000,108.0000,130.0000,18,3.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6769
222,REQ_1007,VNF_5->VNF_7->VNF_2,5,5,0,233.3333,98.0000,193.3333,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6992
223,REQ_1010,VNF_2->VNF_5->VNF_7,5,5,0,256.6667,98.0000,212.6667,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.6392
224,REQ_1015,VNF_1->VNF_8->VNF_3,5,5,0,135.0000,96.0000,90.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.6523
225,REQ_1016,VNF_4->VNF_5->VNF_7,5,5,0,132.0000,56.0000,102.6667,14,2.80,True,False,True,resource_aware,,,0.6338
226,REQ_1023,VNF_7->VNF_5->VNF_3,5,5,0,226.6667,120.0000,233.3333,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6382
227,REQ_1029,VNF_2->VNF_6->VNF_8,5,5,0,322.0000,88.0000,191.6667,11,2.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6321
228,REQ_1033,VNF_8->VNF_1->VNF_3,5,5,0,180.0000,78.0000,120.0000,13,2.60,True,False,True,resource_aware,,,0.6660
229,REQ_1038,VNF_5->VNF_3->VNF_2,5,5,0,136.0000,112.0000,249.3333,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5194
230,REQ_1042,VNF_1->VNF_6->VNF_8,5,5,0,255.0000,96.0000,73.6667,12,2.40,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4777
231,REQ_1046,VNF_2->VNF_5->VNF_8,5,5,0,126.0000,60.0000,112.0000,15,3.00,True,False,True,resource_aware,,,0.5125
232,REQ_1053,VNF_2->VNF_6->VNF_7,5,5,0,216.0000,96.0000,108.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4813
233,REQ_1058,VNF_3->VNF_1->VNF_2,5,5,0,100.0000,70.0000,100.0000,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4769
234,REQ_1065,VNF_4->VNF_8->VNF_6,5,5,0,122.6667,75.0000,64.0000,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4787
235,REQ_1072,VNF_2->VNF_5->VNF_6,5,5,0,174.0000,98.0000,174.0000,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.5210
236,REQ_1078,VNF_3->VNF_2->VNF_6,5,5,0,75.0000,64.0000,90.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4805
237,REQ_1082,VNF_4->VNF_1->VNF_8,5,5,0,259.0000,120.0000,105.0000,15,3.00,True,False,True,resource_aware,,,0.4777
238,REQ_1087,VNF_4->VNF_3->VNF_8,5,5,0,161.0000,119.0000,175.0000,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4973
